Response ID,12172441: What are some of the things that you enjoy about our course so far?,"12172443: At this point in the semester, what concerns you the most about taking this course, if any? If you do not have any, you can write ""none"" or ""NA"". To receive full credit for this activity, you will need to write something below.","12172445: Anything you would like me to know about before we start our course regarding your individual needs, or impressions of the course so far? If there is nothing, please write NA or something similar, because to receive full credit for this activity, you will need to write something below."
1,,,
2,,,
3,,,
4,,NA,NA
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
16,,,
17,,,
18,,,
19,I have enjoyed the module videos as they help me learn the most.,I hope the there is ample practice supplied throughout the semester.,NA
20,I enjoy the organization of the modules and the in-depth overview of the content. ,n/a,n/a
21,"I enjoy the flexibility built in the course, specifically with the non strict MML",,
22,Being able to do much of it at my own pace.,NA,NA
23,I enjoy how I am able to create my own schedule and the pace the course is going at.,NA,NA
24,Asynchronous format with studios available,Remembering calculus concepts and learning new ones so quickly,Seems good
25,Learning a lot of new content.,NA,NA
26,I enjoy doing Webwork questions for extra credit. It reinforces my knowledge and exposes me to some ideas that are tested on exams.,NA,NA
27,I am enjoying the speed and content of the lectures,NA,I struggle with my focus
28,I enjoy the free nature of the course. The ability to self-pace yourself is a nice luxury to have. ,"I am concerned that I may fall behind in the course, but I fully believe in my ability to schedule my activities properly.",NA
29,I enjoy the lecture videos and the practice with the MML assignments.,NA,NA
30,Great videos.,NA,NA
31,"I enjoy the subject matter compared to the first semester of this program, as I find linear algebra to be less interesting and engaging than multivariable calculus.","My main concern with taking this course is time management, as it is self-paced, but because all of the lecture videos are available, I believe this will not be a large problem.",N/A
32,"Learning about the aspects of math that I haven't learned in my life before, and  participating in the actual college course to get a head start of my college experience.","I'm concerned because I'm a terrible procrastinator, which makes me hard to complete the assignments in time or get a good grade on the exams. ","It is hard to manage my time taking this course on online, and even though I was aware of that fact, I'm still struggling. "
33,I like how it is self paced and I really like how I have the options of either watching videos one day or reading the textbook another.,I think the biggest concern is the workload since I am taking many rigorous classes this semester.,NA
34,"I enjoy the video lectures and the MMOL homework that is assigned. Even if I am not able to complete a problem on the first attempt, the explanations and step by step practice questions allow me to get a better grasp on solving the problems.",None,None
35,"It is easy to use and has the same format as last semester, so there is less confusion. ",None,None
36,The instructor is very easy to follow.,NA,NA
37,I like how studio sessions are recorded so that I can always go back to watch the videos. I also like how the videos have a feature that lets you comment on a specific time stamp of the lecture video.,NA,NA
38,I enjoy how detailed the lectures were. I enjoy how the format of the MMLs and webwork.,I'm worried about my comprehension of the material.,N/A
39,"I enjoy the range of resources I am provided with. Going through extra practice was one of the reasons why I succeeded in Linear Algebra, so having that is really helpful.",N/A,"I have already contacted Dr. Mayer regarding my accommodations and he has assured me that the course is designed for the success of the students, and I am looking forward to that. "
40,I enjoyed the challenging workload paired with understandable lectures.,None,NA
41,Good explanations and access to peer and instructor help,none,none
42,I enjoy the way the course is set up. It follows a logical manner with the way the assignments are organized weekly. ,I'm a little worried about multivariable calculus in general and understanding the concepts. It also seems as if there will be a lot more formulas in this class as compared to linear algebra so I'll really have to work on memorizing all of them.,N/A
43,The first week is largely review.,N/A,N/A
44,I enjoy the lecture videos and the MML format. ,N/A,N/A
45,New math!,NA,NA
46,I enjoy how interesting the content is and how organized it is.,None,NA
47,"being able to view videos, getting back to mymathlab",I struggled a little bit in the first semester,NA
48,I enjoy learning all the math. I also enjoy challenging myself with the extra credit assignments.,NA,NA
49,I enjoy seeing that there is math that is beyond my understanding thus far and stretching my limit in the field of mathematics ,"Just commitment on my side of things, and I need to stop procrastinating to such an extreme level",NA
