N,concerns,concerns category,anything else,anything else category
551,That all of my knowledge from calc BC escapes my brain.,LM,The sample exams and quizzes during linear algebra helped out a lot if we could have those for multivariable calc that would be fantastic.,LM
416,"My only concern about this course is that I will have an issue learning one of the fundamental items early in the course, and as a result of that, will struggle later on when building upon that foundational knowledge. ",LM,NA,NC
422,"My only concern is if I'll be able to study/prepare to the same degree for exams that I did last semester, but other than that I feel confident.",LM,NA,NC
408,"My only concern is that so far the video lessons are not as clear as they were in the linear algebra course. This could just be me, though as they are still very comprehensive.",LM,NA,NC
356,"One thing that was concerning for me last semester was my mastery on certain topics. There were some topics in linear algebra that I couldn't fully explore due to other work and activities. For MV Calc, I hope to fix this issue by writing notes and practice problems down so that I could review it again in depth later.",LM,NA,NC
107,"Perhaps not putting forth my greatest effort being a victim of senioritis. I've always been a perfectionist, so it is challenging and dreading to imagine not passing a class with flying colors.",TM,NA,NC
350,"Some concerns may have might be more technical, such as being unable to access the textbook.",OT,NA,NC
354,Some concerns that I have include encountering difficult content that would delay the process in which I complete assignments for the class.,LM,NA,NC
394,"Something that concerns me is not being able to learn properly as it is not in person, but I think the studio sessions and recorded lectures will resolve this.",LM,NA,NC
244,Studying for the exams.,LM,NA,NC
582,Taking module tests in MML,LM,NA,NC
457,Technological issues with the gatech instructure portal. ,OT,NA,NC
491,That I won't do well because of all my other classes. I'm scared I won' succeed and miss a duedate.,LM,NA,NC
370,That it counts towards my college gpa.,LM,NA,NC
379,The allocation of the weightage.,LM,NA,NC
208,The biggest concern I have this semester is preventing sernioritis from taking over and paralyzing my ability to finish work.,TM,NA,NC
353,The concern I have is the format of the Exams compared to linear algebra.,LM,NA,NC
310,The effectiveness of studio lessons.,LM,NA,NC
525,"The exams concern me the most, as I am unsure of the structure of the exams, mainly if they are similar to last semester's course.",LM,NA,NC
271,The exams since they are given such a large weight.,LM,NA,NC
197,"The lecture videos this semester skip a number of intermediate steps, so the only mild concern I have right now is being unaware of where numbers may come from during the middle of her solving a problem. ",LM,NA,NC
536,"The most concern is not fully understanding the content even with the help given, and struggling due to the format and wording of some questions. ",LM,NA,NC
529,The one thing that concerns me is the high weightage of the exams and final. ,LM,NA,NC
187,"The percentage for the exams concerns me the most, as the high number puts pressure on students. ",LM,NA,NC
440,The quick pace of the lecture videos and occasional lack of explanation on a problem. ,LM,NA,NC
488,There has been some time since I worked on much of the calculus coursework so it may be a little rusty at the start of this semester.,LM,NA,NC
424,"There's 2 MML courses (old version and new). I did MML1 on the new version, but the grade didn't change in canvas. When I do a question on the old version, the grade updates. ",OT,NA,NC
492,too much homework,LM,na,NC
581,What concerns me most about taking the course is that the material may be a little difficult to learn since the course is online. ,LM,NA,NC
583,What concerns me the most about taking this course is being able to balance the large workload of this class along with the large workload of my other classes in a way that enables me to complete and do well on all this class's assignments while also gaining a strong understanding of the information that we are learning.,LM,NA,NC
427,What concerns me the most about taking this course is not have sufficient time for completing all the material. It is a very small concern.,LM,NA,NC
475,"It simply concerns me that I cannot ask my professor questions in person, and is completely at the mercy of both my and the professor's schedule. ",OT,NA. ,NC
315,I found topics related to LaGrange difficult last year and I feel like it will be hard for me to pick up on the content surrounding it. I will look for extra help from TAs and instructors.,LM,No individual needs. Very excited to learn the topics in Multivariable Calculus. ,NC
481,"My main concern is this is so so so much more difficult than high school math. It's really quite a jump and catches you off guard at first.

 

Also, neither the written assignment nor the exams are appearing on my course feed and that is kind of an issue. ",OT,No nothing much. Matrices are my worst nightmare and I hope they go away permanently.,NC
563,I probably forgot a lot of calc BC.,LM,None,NC
463,I want to have more practice taking practice assessments and tests for prep. I want to just have some more additional practice before the actual exams come around.,LM,None,NC
341,"There might be several topics that rely on prerequisite knowledge that our school didn't address fully, and I am unsure if there is an appropriate calculator for 3D information. Additionally, Exam 3 and the final exam are during school holidays/events/exams, so I'm unsure if that will work out well. ",OT,none,NC
253,"Nothing that I've seen, but I have heard from several others who have taken the course in the past about the difficulty of this semester.",LM,"None, I am glad there are not quizzes anymore and just MMLs, as they were far more helpful to me in linear algebra :)",NC
261,I do not have any concerns.,NC,None.,NC
193,"The difficulty. ""Multivariable calculus"" sounds like a very advanced class.",LM,none.,NC
557,"One concern for taking this course is having a greater workload, even though the work provided based on the modules is less.",LM,not applicable,NC
306,The amount of work.,LM,Nothing so far. Just only started. ,NC
439,The abstractions sometimes scare me,LM,"Nothing, I am very excited!",NC
159,"I'm afraid I won't be able to retain the information I learn well enough to be able to teach it to someone else. Teaching it to someone else helps me understand better, so I'm afraid that I won't be able to understand to that level.",LM,"The course seems a little more rigorous, but I think if I just reach out when I need help, I'll be alright.",NC
513,"The concerns that I have taking the course are the varied amount of work that each unit would take and the format of the module tests. For example, I am anxious that the test content may be from a unit that was covered briefly from many lessons ago that I may not have had time to review for.",LM,The course so far is navigable and allows me time to work on the assignment.,NC
225,"I think I’m most concerned about getting an A in the course and being able to balance the workload with all my other commitments. However, I felt the workload with linear algebra was optimal, and I am now finished with college applications, so I doubt that will be too much of a problem.",TM,There is nothing in particular I think you should know about me or my impressions of the course so far.,NC
213,"The only concern I have is the difficulty with the course knowing that many people have said that it will be very hard. However, I feel like it'll be alright considering my performance in linear algebra. ",LM,There is nothing individually that I would need. I very much like the course so far because of its similarity to the layout of the linear algebra course. ,NC
185,I do not have any concerns at the moment.,NC,There is nothing so far.,NC
430,"Last year, I struggled a lot with true and false questions and concerned that I might repeat the same thing this semester.",LM,,NC
11,The tests being in MML makes them difficult to complete on mobile.,IND,NA,NC
242,I wish that every single question on the homework had a walk you through it or an example.,LM,N/A,NC
368,"I would like to focus on retaining the material better, since I find it harder to retain the information as well for online courses.",LM,N/A,NC
362,I'm a bit worried about the content and the difficulty. ,LM,n/a,NC
338,"I'm a little concerned as to whether or not I will be able to understand many of the topics we learn about, but I'm also confident that I will put in my best.",LM,N/A,NC
372,I'm just a little intimidated by how much the exams and final are worth.,LM,N/A,NC
414,"I'm slightly concerned about preparing from exams, but I know that I can look at practice exams and MML practice to study and ensure that I understand the material.",LM,N/A,NC
264,"My biggest concern is keeping up with the deadlines especially because the GT breaks do not align with school breaks, so I will make sure to stay on schedule",LM,N/A,NC
431,"My concern is the extra exam we have compared to last semester. Last semester, there was two exams and the final, but with the extra exam, I am worried about how it will all work out.",LM,N/A,NC
237,My only concern is if it will add too much to my course load this semester.,LM,N/A,NC
532,"One concern I have about this course is that I forgot much of what I learned in calculus last year. However, I believe I will able to review the material that is necessary for this course and will regain the skills. ",LM,N/A,NC
524,One concern or dislike I have is the canvas quizzes are taken away. These helped support my learning and understanding of the content much more. ,LM,N/A,NC
467,"That it's been a while since I've done calculus. I personally feel it would have been better to have multivar first semester. Unless line alg is a prerequisite, then ignore this.",LM,N/A,NC
387,The one thing that concerns me the most is the fact that the in-person exams are worth 10% more than in Linear Algebra.,LM,N/A,NC
450,"The only thing that concerns me about this course is that my calculus foundation is not strong. I believe last semester, my strong algebra foundation helped me a lot in linear algebra but this semester I am concerned about how my weak calculus foundation will impact my learning pace. ",LM,n/a,NC
328,"The only thing that worries me is that since this is mostly an online class, I might not get as much practice as I should in-person nsetting. Math requires a lot of practice; hence it is important that i get in sufficient practice before any of the assessments.",LM,n/a,NC
586,"The tests are 60% of our grade, we don't have quizzes anymore, and grades aren't dropped.",LM,N/A,NC
177,The thing that concerns me the most is having a smaller diversity of practice problems. I don't want to use the exam prep sheets before I begin studying for the exam but I would also like practice problems besides what is on MML. The extra credit webwork will hopefully cover this but it doesn't become available until the 22nd.,LM,N/A,NC
319,The weight of the exams worries me for getting a good grade.,LM,N/A,NC
298,"The workload, this is a college class so I will definitely have a lot more work here than in any of my other classes.",LM,N/A,NC
103,The increased complexity of the actual technical math work compared to linear algebra. I struggled occasionally in BC calculus so multivariable is daunting in comparison.,LM,"N/A, so far, the course feels alright but I will only really know about my impressions on its technical difficulty as we get farther in.",NC
558,"I feel like the 3 exams concern me since last semester we had 2. Also the final being worth 30% of the grade is a lot in my opinion, since I have never had a test weigh more.",LM,NA,NC
385,"I got a B last semester and I heard this class can be harder, so I’m worried about that.",LM,NA,NC
279,I think it's just the leap from weekly homeworks to mass studying a few days before exams.,LM,NA,NC
227,"I think my time management skills are the most concerning. Preparing well before a test, and studying consistently, I should manage my time well.",LM,NA,NC
594,I worry about falling behind in content. ,LM,NA,NC
405,"I'm a bit worried about the in-person examinations as they will now take up 60% of our grade. Other than that, I am not too worried. ",LM,NA,NC
535,"I'm afraid about the difficulty of this course, but that was also the same for last semester's. Calculus, especially series, was a struggle and I understand that I will do better if I put in more effort, but I still feel like I'm going to stress over learning. ",LM,NA,NC
527,I'm concerned about the level of importance for the exams (being now 30%) and I'm also worried for the lack of quizzes (since those were helpful).,LM,NA,NC
433,"I'm concerned the course may move quickly and that I will have to review calculus, which I may have forgotten since last year.",LM,NA,NC
369,I'm concerned with my calculus knowledge. I took AB and BC last year and havent done much review since. ,LM,NA,NC
194,I'm most concerned that I will not understand the material being taught and that I won't be able to execute my knowledge during the exams. I hope to mitigate this by consistently doing practice exams to prepare myself for the actual exam. ,LM,NA,NC
445,I'm worried I might have forgotten some of the stuff that the course expects me to know.,LM,NA,NC
